iter	Passed	Remaining
150	300	1691
151	302	1689
152	304	1684
153	305	1679
154	307	1674
155	309	1672
156	310	1668
157	312	1662
158	316	1672
159	317	1668
160	318	1660
161	320	1656
162	321	1651
163	323	1648
164	324	1643
165	326	1639
166	327	1634
167	330	1639
168	332	1635
169	333	1630
170	335	1626
171	337	1624
172	338	1620
173	340	1615
174	341	1611
175	345	1617
176	347	1613
177	348	1609
178	350	1609
179	352	1607
180	355	1606
181	360	1619
182	362	1618
183	364	1617
184	366	1613
185	367	1608
186	369	1604
187	370	1599
188	374	1605
189	376	1602
190	378	1601
191	379	1598
192	381	1594
193	382	1589
194	384	1585
195	385	1581
196	389	1585
197	391	1584
198	393	1582
199	394	1579
200	396	1577
201	398	1575
202	400	1571
203	403	1575
204	405	1572
205	407	1568
206	408	1564
207	409	1560
208	412	1560
209	414	1557
210	418	1565
211	420	1564
212	422	1561
213	424	1558
214	426	1555
215	427	1553
216	429	1550
217	434	1558
218	436	1556
219	438	1553
220	439	1550
221	441	1547
222	443	1544
223	447	1550
224	449	1547
225	451	1544
226	452	1542
227	454	1539
228	456	1536
229	458	1533
230	462	1539
231	464	1538
232	466	1536
233	468	1533
234	470	1530
235	471	1527
236	473	1525
237	478	1531
238	483	1541
239	489	1551
240	494	1556
241	496	1554
242	498	1552
243	500	1551
244	502	1548
245	507	1554
246	509	1552
247	510	1549
248	512	1546
249	514	1544
250	516	1542
251	518	1539
252	523	1544
253	525	1541
254	526	1538
255	528	1536
256	530	1533
257	532	1530
258	535	1533
259	538	1531
260	539	1528
261	541	1525
262	543	1523
263	545	1520
264	547	1517
265	552	1524
266	554	1521
267	556	1520
268	558	1517
269	560	1514
270	562	1511
271	567	1518
272	569	1517
273	571	1515
274	573	1512
275	577	1513
276	582	1520
277	584	1517
278	586	1514
279	587	1511
280	589	1508
281	591	1505
282	595	1508
283	597	1506
284	599	1503
285	601	1500
286	603	1499
287	606	1499
288	611	1503
289	612	1500
290	614	1497
291	615	1493
292	617	1489
293	618	1486
294	620	1482
295	621	1478
296	625	1481
297	627	1477
298	628	1474
299	630	1470
300	631	1466
301	633	1463
302	634	1459
303	636	1456
304	638	1453
305	640	1453
306	642	1449
307	643	1446
308	645	1443
309	646	1439
310	648	1436
311	649	1432
312	651	1429
313	655	1431
314	656	1428
315	658	1425
316	659	1421
317	661	1418
318	662	1414
319	664	1411
320	665	1407
321	669	1408
322	671	1406
323	673	1404
324	675	1401
325	677	1400
326	679	1398
327	680	1394
328	684	1395
329	685	1391
330	687	1388
331	688	1385
332	689	1381
333	691	1378
334	692	1375
335	694	1371
336	698	1373
337	699	1370
338	701	1367
339	702	1363
340	704	1361
341	705	1358
342	707	1354
343	708	1351
344	712	1352
345	714	1349
346	715	1346
347	716	1343
348	719	1342
349	721	1339
350	723	1337
351	728	1341
352	730	1339
353	732	1337
354	734	1333
355	735	1330
356	737	1327
357	738	1324
358	742	1325
359	744	1322
360	745	1319
361	747	1317
362	748	1314
363	750	1311
364	751	1307
365	753	1304
366	756	1304
367	758	1302
368	760	1300
369	762	1297
370	764	1295
371	766	1293
372	767	1290
373	771	1291
374	773	1288
375	774	1285
376	776	1282
377	777	1279
378	779	1277
379	780	1274
380	782	1271
381	786	1271
382	787	1269
383	789	1266
384	790	1263
385	792	1260
386	793	1256
387	795	1254
388	796	1250
389	797	1247
390	801	1248
391	802	1245
392	804	1242
393	805	1239
394	807	1236
395	808	1233
396	810	1230
397	811	1227
398	814	1227
399	816	1225
400	818	1222
401	819	1219
402	821	1216
403	822	1213
404	824	1210
405	825	1207
406	827	1204
407	830	1205
408	832	1202
409	833	1199
410	835	1196
411	836	1194
412	838	1191
413	839	1188
414	840	1185
415	842	1182
416	845	1181
417	847	1179
418	848	1177
419	850	1174
420	851	1171
421	853	1168
422	855	1166
423	858	1166
424	860	1164
425	862	1162
426	864	1160
427	866	1158
428	868	1155
429	872	1156
430	873	1153
431	875	1151
432	876	1148
433	878	1145
434	879	1142
435	881	1140
436	883	1137
437	886	1137
438	888	1134
439	889	1132
440	890	1129
441	892	1126
442	894	1124
443	895	1121
444	896	1118
445	898	1116
446	902	1115
447	903	1113
448	905	1110
449	906	1108
450	908	1105
451	910	1103
452	912	1101
453	917	1103
454	919	1101
455	921	1099
456	923	1097
457	925	1095
458	927	1092
459	929	1091
460	931	1089
461	936	1090
462	946	1097
463	950	1098
464	955	1099
465	964	1105
466	967	1104
467	970	1103
468	977	1106
469	979	1104
470	982	1103
471	984	1101
472	990	1104
473	993	1102
474	996	1101
475	998	1099
476	1000	1096
477	1004	1096
478	1006	1094
479	1008	1092
480	1010	1089
481	1011	1087
482	1013	1085
483	1015	1082
484	1019	1082
485	1020	1079
486	1022	1076
487	1023	1073
488	1024	1071
489	1026	1068
490	1027	1065
491	1029	1062
492	1033	1062
493	1035	1060
494	1037	1058
495	1039	1055
496	1041	1053
497	1043	1051
498	1045	1049
499	1047	1047
500	1048	1044
501	1050	1041
502	1051	1039
503	1053	1036
504	1054	1033
505	1056	1031
506	1057	1028
507	1061	1028
508	1063	1025
509	1064	1022
510	1065	1020
511	1067	1017
512	1070	1015
513	1072	1013
514	1077	1014
515	1079	1012
516	1082	1011
517	1084	1008
518	1085	1006
519	1087	1003
520	1090	1002
521	1092	1000
522	1093	997
523	1095	995
524	1096	992
525	1098	989
526	1099	987
527	1101	984
528	1103	982
529	1106	981
530	1107	978
531	1109	975
532	1110	973
533	1112	970
534	1113	967
535	1115	965
536	1116	962
537	1121	962
538	1122	960
539	1124	957
540	1125	955
541	1127	952
542	1128	949
543	1130	947
544	1131	944
545	1135	944
546	1138	942
547	1140	940
548	1142	938
549	1144	936
550	1145	933
551	1150	933
552	1151	931
553	1153	928
554	1154	925
555	1156	923
556	1157	920
557	1159	918
558	1161	916
559	1165	915
560	1166	913
561	1168	910
562	1169	907
563	1171	905
564	1172	902
565	1173	900
566	1175	897
567	1179	896
568	1180	894
569	1182	892
570	1183	889
571	1185	887
572	1187	884
573	1188	882
574	1189	879
575	1192	877
576	1194	875
577	1195	872
578	1197	870
579	1198	868
580	1200	865
581	1201	863
582	1203	860
583	1204	858
584	1208	857
585	1209	854
586	1211	852
587	1213	850
588	1215	848
589	1216	845
590	1218	843
591	1220	841
592	1223	839
593	1225	837
594	1227	835
595	1229	833
596	1231	831
597	1233	828
598	1236	828
599	1238	825
600	1240	823
601	1241	820
602	1243	818
603	1244	816
604	1246	813
605	1247	811
606	1250	809
607	1252	807
608	1254	805
609	1255	802
610	1256	800
611	1258	797
612	1260	795
613	1261	793
614	1262	790
615	1266	789
616	1268	787
617	1269	784
618	1271	782
619	1272	780
620	1274	777
621	1275	775
622	1277	772
623	1280	771
624	1282	769
625	1283	767
626	1285	764
627	1287	762
628	1288	759
629	1289	757
630	1291	755
631	1292	752
632	1296	751
633	1297	749
634	1299	746
635	1300	744
636	1302	742
637	1303	739
638	1305	737
639	1306	734
640	1310	734
641	1312	731
642	1314	729
643	1315	727
644	1316	724
645	1318	722
646	1319	720
647	1321	717
648	1325	716
649	1327	714
650	1329	712
651	1330	710
652	1332	708
653	1334	706
654	1336	703
655	1340	702
656	1341	700
657	1343	698
658	1344	695
659	1346	693
660	1348	691
661	1349	689
662	1351	686
663	1354	685
664	1356	683
665	1357	680
666	1359	678
667	1360	676
668	1362	673
669	1363	671
670	1364	669
671	1368	667
672	1369	665
673	1371	663
674	1372	661
675	1374	658
676	1375	656
677	1377	654
678	1378	651
679	1380	649
680	1384	648
681	1385	646
682	1387	643
683	1389	641
684	1391	640
685	1394	638
686	1399	637
687	1400	635
688	1402	633
689	1404	630
690	1405	628
691	1407	626
692	1408	623
693	1409	621
694	1413	620
695	1415	618
696	1417	616
697	1419	614
698	1421	612
699	1423	610
700	1427	608
701	1429	606
702	1431	604
703	1432	602
704	1434	600
705	1435	597
706	1438	596
707	1444	595
708	1446	593
709	1448	591
710	1450	589
711	1452	587
712	1453	585
713	1457	583
714	1459	581
715	1460	579
716	1462	577
717	1463	574
718	1465	572
719	1466	570
720	1468	568
721	1472	566
722	1474	564
723	1475	562
724	1477	560
725	1478	558
726	1480	555
727	1481	553
728	1483	551
729	1486	549
730	1488	547
731	1489	545
732	1491	543
733	1493	541
734	1494	538
735	1496	536
736	1497	534
737	1501	533
738	1504	531
739	1506	529
740	1507	527
741	1509	524
742	1511	522
743	1515	521
744	1517	519
745	1519	517
746	1520	515
747	1522	512
748	1523	510
749	1525	508
750	1526	506
751	1530	504
752	1532	502
753	1533	500
754	1535	498
755	1536	495
756	1537	493
757	1539	491
758	1540	489
759	1542	487
760	1545	485
761	1547	483
762	1548	481
763	1550	478
764	1551	476
765	1552	474
766	1554	472
767	1555	470
768	1559	468
769	1561	466
770	1562	464
771	1564	462
772	1565	459
773	1567	457
774	1568	455
775	1570	453
776	1572	451
777	1575	449
778	1576	447
779	1578	445
780	1580	443
781	1582	441
782	1583	438
783	1585	436
784	1588	435
785	1590	433
786	1593	431
787	1594	429
788	1597	427
789	1598	425
790	1600	422
791	1604	421
792	1605	419
793	1607	417
794	1608	414
795	1610	412
796	1611	410
797	1613	408
798	1614	406
799	1618	404
800	1619	402
801	1621	400
802	1622	398
803	1624	395
804	1625	393
805	1627	391
806	1628	389
807	1630	387
808	1632	385
809	1634	383
810	1635	381
811	1637	379
812	1638	376
813	1640	374
814	1641	372
815	1643	370
816	1647	368
817	1648	366
818	1650	364
819	1651	362
820	1653	360
821	1654	358
822	1656	356
823	1657	354
824	1661	352
825	1662	350
826	1664	348
827	1666	346
828	1667	344
829	1669	341
830	1670	339
831	1672	337
832	1676	336
833	1678	334
834	1680	332
835	1681	329
836	1683	327
837	1684	325
838	1686	323
839	1687	321
840	1692	319
841	1694	317
842	1696	315
843	1698	313
844	1700	311
845	1702	309
846	1705	308
847	1707	306
848	1709	303
849	1710	301
850	1711	299
851	1713	297
852	1714	295
853	1716	293
854	1718	291
855	1721	289
856	1722	287
857	1724	285
858	1725	283
859	1727	281
860	1728	279
861	1730	276
862	1731	274
863	1735	273
864	1737	271
865	1738	269
866	1740	266
867	1741	264
868	1743	262
869	1744	260
870	1746	258
871	1748	256
872	1750	254
873	1751	252
874	1753	250
875	1754	248
876	1756	246
877	1757	244
878	1759	242
879	1760	240
880	1763	238
881	1765	236
882	1766	234
883	1767	231
884	1769	229
885	1772	228
886	1773	225
887	1775	223
888	1778	222
889	1781	220
890	1783	218
891	1785	216
892	1787	214
893	1788	212
894	1792	210
895	1794	208
896	1796	206
897	1797	204
898	1798	202
899	1800	200
900	1802	198
901	1808	196
902	1810	194
903	1812	192
904	1814	190
905	1816	188
906	1817	186
907	1819	184
908	1823	182
909	1824	180
910	1826	178
911	1827	176
912	1829	174
913	1830	172
914	1831	170
915	1833	168
916	1836	166
917	1838	164
918	1840	162
919	1842	160
920	1845	158
921	1848	156
922	1852	154
923	1854	152
924	1856	150
925	1858	148
926	1860	146
927	1862	144
928	1867	142
929	1870	140
930	1872	138
931	1874	136
932	1876	134
933	1877	132
934	1882	130
935	1885	128
936	1895	127
937	1898	125
938	1901	123
939	1904	121
940	1911	119
941	1914	117
942	1918	115
943	1923	114
944	1926	112
945	1929	110
946	1931	108
947	1934	106
948	1939	104
949	1941	102
950	1943	100
951	1945	98
952	1948	96
953	1952	94
954	1954	92
955	1956	90
956	1958	87
957	1960	85
958	1961	83
959	1962	81
960	1965	79
961	1968	77
962	1971	75
963	1973	73
964	1974	71
965	1977	69
966	1978	67
967	1982	65
968	1984	63
969	1985	61
970	1987	59
971	1988	57
972	1990	55
973	1991	53
974	1993	51
975	1997	49
976	1999	47
977	2000	45
978	2001	42
979	2003	40
980	2004	38
981	2006	36
982	2007	34
983	2011	32
984	2013	30
985	2014	28
986	2016	26
987	2018	24
988	2019	22
989	2021	20
990	2022	18
991	2026	16
992	2027	14
993	2029	12
994	2031	10
995	2032	8
996	2034	6
997	2035	4
998	2037	2
999	2040	0
